EST_DATE,Total_ASSETS,IDRSSD,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Tract_Code,Tract Income Level,Underserved or Distressed Tract,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Family Income,Tract Median Family Income %,Tract Population,Tract Minority %,Tract Minority Population,Owner-Occupied Units,1 to 4 Family Units,Tract Income Level,2010 MSA/MD/statewide non-MSA/MD Median Family Income,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,% below Poverty Line,Tract Median Family Income %,2010 Tract Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Household Income,Tract Population,Tract Minority %,Number of Families,Number of Households,Non-Hispanic White Population,Tract Minority Population,American Indian Population,Asian/Hawaiian/Pacific Islander Population,Black Population,Hispanic Population,Other/Two or More Races Population
20031006,209963,3216316,AMERICAN CONTINENTAL BANK,17700 CASTLETON STREET SUITE 100,CITY OF INDUSTRY,CA,91748,4082.11,Moderate,No,$64300,$46598,$45441,72.47,5955,89.66,5339,870,1364,Moderate,$62703,$64300,20.86,72.47,$45441,$46598,$41121,5955,89.66,1290,1767,616,5339,0,3042,23,2226,48
20070808,466916,3623110,"AMERICAN PLUS BANK, NATIONAL ASSOCIATION",630 WEST DUARTE ROAD,ARCADIA,CA,91007,4317.00,Upper,No,$64300,$101903,$99375,158.48,6669,74.13,4944,1587,1989,Upper,$62703,$64300,11.56,158.48,$99375,$101903,$82454,6669,74.13,1647,2011,1725,4944,66,4541,0,277,60
20061106,233493,3488980,AMERICAS UNITED BANK,"801 NORTH BRAND BOULEVARD, SUITE 180",GLENDALE,CA,91203,3018.01,Moderate,No,$64300,$47222,$46053,73.44,4508,52.57,2370,445,240,Moderate,$62703,$64300,9.87,73.44,$46053,$47222,$42258,4508,52.57,1152,1754,2138,2370,0,1078,19,1176,97
19900725,59571,1462986,ASIAN PACIFIC NATIONAL BANK,333 WEST VALLEY BOULEVARD,SAN GABRIEL,CA,91776,4814.01,Moderate,No,$64300,$46855,$45694,72.87,6294,95.49,6010,741,1317,Moderate,$62703,$64300,21.05,72.87,$45694,$46855,$42411,6294,95.49,1479,1854,284,6010,9,4978,0,965,58
19860318,13459500,671464,BANK OF HOPE,"3200 WILSHIRE BOULEVARD, SUITE 1400",LOS ANGELES,CA,90010,2123.03,Low,No,$64300,$19361,$18886,30.11,3268,94.09,3075,0,25,Low,$62703,$64300,43.34,30.11,$18886,$19361,$25120,3268,94.09,637,1237,193,3075,0,529,111,2274,161
19710317,611374,777366,BANK OF THE ORIENT,233 SANSOME STREET,SAN FRANCISCO,CA,94104,0117.00,Low,No,$113100,$46247,$42426,40.89,1635,67.58,1105,43,69,Low,$103742,$113100,25.21,40.89,$42426,$46247,$34914,1635,67.58,269,1024,530,1105,0,723,105,247,30
19821220,59448,209362,"BANK OF WHITTIER, NATIONAL ASSOCIATION",15141 EAST WHITTIER BOULEVARD,WHITTIER,CA,90603,5002.02,Upper,No,$64300,$157117,$153220,244.35,4936,65.34,3225,1304,1457,Upper,$62703,$64300,3.85,244.35,$153220,$157117,$136793,4936,65.34,1239,1493,1711,3225,48,694,68,2347,68
19470226,451577,26176,"BROADWAY FEDERAL BANK, F.S.B.","5055 WILSHIRE BOULEVARD, SUITE 100",LOS ANGELES,CA,90036,2110.00,Upper,No,$64300,$166916,$162772,259.59,4676,43.97,2056,1204,1428,Upper,$62703,$64300,5.29,259.59,$162772,$166916,$129948,4676,43.97,1169,1679,2620,2056,12,1267,96,322,359
20051101,86245,3390337,CALIFORNIA BUSINESS BANK,3200 EL CAMINO REAL,IRVINE,CA,92602,0525.25,Upper,No,$88000,$114048,$111467,129.60,16970,66.72,11322,3015,3675,Upper,$86003,$88000,5.60,129.60,$111467,$114048,$101950,16970,66.72,4605,6164,5648,11322,0,8054,486,1664,1118
20051130,62529,3394380,"CALIFORNIA INTERNATIONAL BANK, N.A.","8632 EAST VALLEY BOULEVARD, SUITE A",ROSEMEAD,CA,91770,4813.00,Middle,No,$64300,$53928,$52593,83.87,3334,97.15,3239,572,896,Middle,$62703,$64300,15.83,83.87,$52593,$53928,$51202,3334,97.15,756,869,95,3239,0,2269,1,900,69
